oj 哀,埃
honH 恨
xaeng 享,亨
haeng 行,衡,桁
hong 恆
hwaeng 橫
xwong 薨
huwng 鴻,洪,紅,虹
hweang 宏,嶸
hwong 弘
huwngH 鬨,閧
huw 侯,喉,猴,鍭
huwH 後,候,逅,鍭
huwX 後,后,厚
hu 乎,胡,狐,湖,壺,弧,瑚,葫,糊,蝴
xu 呼,虍,幠
xwot 忽,笏,惚,芴
hwot 搰
xuX 所,許,虎,滸
huX 戶,扈,祜,鳸
huH 護,互,瓠,沍,枑
xuH 呼
xju 吁,盱,訏,荂
xwae 華,花,譁
hwae 華,鼃,划
hweat 滑,猾
hwaeX 踝,輠
hwaeH 華,擭
hwaejH 話
hweaH 畫,繣
hweak 獲,畫,蒦,劃
xwaeH 化,󰈙
xweak 繣
hweaj 懷,淮,槐
hwoj 回,槐,迴,徊
hweajH 壞
hwojX 壞,輠
xjwon 讙,暖,諼,塤,喧,諠,吅,壎,貆
xwan 歡,驩,懽
hwaen 還,環,睘
hwan 桓,完,丸,亘,芄,萈,雈
hwanX 緩,浣,輠
hwaenH 患,宦,擐
hwanH 換
xwanH 渙,煥
xwang 荒,巟,衁,詤
hwang 黃,皇,蝗,煌,徨,隍,篁,黄
xwangX 芒,怳,慌,詤
xjw+j 暉,揮,徽,輝,煇,楎
xjwie 墮,睢,隳,觿
xwoj 灰,虺,豗
xjw+jX 虺,𤈦
xjweX 毀,毇,烜
xwojX 悔,賄
jwojH 穢
hwajH 會,繪
hwejH 惠,慧,叀
tsyhwejH 喙
xjwieH 隋
xjwojH 喙,顪
xwajH 翽
xwejH 嘒
xwojH 晦,誨,靧
zjwejH 彗
xwon 昏,婚,閽
hwon 魂,渾,楎
hwonX 渾,混
hwat 活
hwaX 禍,夥
xwaX 火
hwak 穫
hwok 或,惑
xwaH 貨
xwat 濊,豁
gj+j 祈,旂,蘄,畿,蟣
gjaek 屐
kej 稽,雞,笄,鷄,枅,𥝌
kek 擊,激
ki 姬,箕,基
kij 飢,肌
kijX 几,机
kj+j 幾,機,饑,譏
kje 奇,羈
tsej 躋,隮,䪡
tsek 績
tsjek 積,跡,借,脊,迹,踖,蹟,𨒪
dzip 集,輯,亼
dzit 疾
dzjek 籍,藉,踖
gik 極
gip 及,乁
git 佶
kik 棘,亟,茍,朸
kip 急,給,級
kjit 吉
tsik 即,稷,卽
tsip 揖
tsit 堲
tsjep 接,楫,睫,椄
tsrip 輯,濈,㗊
kiX 己,紀
kj+jX 幾
kjaek 戟,丮
tsejX 濟,泲
dzejX 薺
dzek 寂
giH 忌,綦
gijH 暨
gjeX 技,伎,踦
gjeH 騎,芰
gjwijH 悸
kejH 計,繼,繫,係,髻
kiH 記
kijH 冀,驥
kj+jH 既,旣
kjeH 寄
kjejH 罽,彑,猘
kjiejH 瘈
kjwijH 季
tsejH 濟,霽
tsjejH 祭,際,穄
kae 家,加,嘉,豭
kaep 甲,梜
kep 梜
keat 戛,秸,袺
kjaep 劫,跲
kaeX 假,叚,嘏,斝
kaeH 賈,駕,嫁,稼,價
kea 街,佳
kaem 監
kaen 姦
kean 間,艱,蕑,𡏳,囏
kem 兼,蒹
ken 堅,肩,幵,枅,豣
kjon 𩱡
tsjem 漸,湛,殲,熸
gjemX 儉
heamX 減
keamX 減
keanX 簡,柬,揀
kenX 繭
kjemX 檢
kjenX 𢵈
tsjemX 䭕
tsjenX 翦,剪
dzenH 荐,洊,栫
dzjemX 漸
dzjenX 踐,俴
dzjenH 賤,餞
gjenX 件
haemX 檻,艦
hamX 檻
kaemH 監
kaenH 諫,澗
kenH 見
kjaemH 劍
kjonH 建
tsemH 僭
tsenH 薦
tsjenH 箭,濺
kaewng 江
kjang 姜,疆,薑,畺,畕
tsjang 將,漿
kaewngX 講
tsjangX 奬
dzjangH 匠
kaewngH 降,虹
tsjangH 將,醬
kaew 教,交,郊,膠,蛟,茭
kew 徼,𥄉
tsew 椒
tsjew 焦,椒,鷦
kaewX 膠,絞,攪,鉸
kaewk 角,覺,較,玨
kewX 僥,皎,皦
kjak 腳,脚
kjewX 矯,蹻
tsjewX 剿
dzjewH 噍
kaewH 教,校,覺,較,窖
kewH 徼,叫
gjet 桀,竭,傑,揭,碣,偈
gjot 揭
keaj 皆,階,偕,喈
khjejH 揭,憩
khjet 揭,愒
kjot 揭
tsjae 嗟
dzet 截
